"No.","Time","Source","Destination","Protocol","Length","Info"
"2174","23.676599743","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=423239 Win=204800 Len=0 TSval=986382810 TSecr=1176364126"
"2175","23.676603301","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=425655 Win=205824 Len=0 TSval=986382810 TSecr=1176364127"
"2176","23.676607133","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=429279 Ack=8588 Win=90112 Len=1208 TSval=1176364128 TSecr=986382758 [TCP PDU reassembled in 2182]"
"2177","23.676619422","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=430487 Win=201728 Len=0 TSval=986382810 TSecr=1176364127"
"2178","23.676925267","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","QUIC","105","Protected Payload (KP0), DCID=11140e0005a8b8a9fe6f1f50fd3fe492559c96d5"
"2179","23.683326684","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1262","Protected Payload (KP0), DCID=8ca9c0"
"2180","23.683327183","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1262","Protected Payload (KP0), DCID=8ca9c0"
"2181","23.683340433","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=430487 Ack=8588 Win=90112 Len=1208 TSval=1176364129 TSecr=986382760 [TCP PDU reassembled in 2182]"
"2182","23.683340592","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1294","Application Data"
"2183","23.683340624","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=432903 Ack=8588 Win=90112 Len=1208 TSval=1176364129 TSecr=986382760 [TCP PDU reassembled in 2186]"
